# {"t_start": 1554709372.327473, "env_id": "HalfCheetah-v2"} 
r,l,t
-619.57652,1000,2.093314
-614.853486,1000,3.334245
-534.825717,1000,4.444531
-690.486073,1000,5.579844
-625.334133,1000,6.675785
-641.052853,1000,7.792737
-641.051616,1000,8.881963
-567.551415,1000,10.010384
-555.364998,1000,11.095557
-628.421187,1000,12.184737
-516.599389,1000,13.187255
-526.326033,1000,14.222683
-506.010499,1000,15.277677
-573.32585,1000,16.317396
-552.190653,1000,17.326545
-697.821863,1000,18.406998
-558.380847,1000,19.494482
-640.30283,1000,20.55951
-632.854891,1000,21.668034
-511.959835,1000,22.74264
-553.484911,1000,23.847054
-523.36555,1000,24.939555
-492.560535,1000,26.007271
-511.476227,1000,27.046872
-563.089955,1000,28.214907
-486.080623,1000,29.236187
-585.909667,1000,30.328837
-520.379488,1000,31.430347
-515.770374,1000,32.478333
-529.848882,1000,33.577249
-453.528736,1000,34.662952
-497.630375,1000,35.779641
-554.803043,1000,36.83839
-500.963262,1000,37.942616
-431.982624,1000,39.073565
-506.18929,1000,40.195458
-480.068138,1000,41.252024
-499.140425,1000,42.30975
-437.939569,1000,43.431307
-513.628344,1000,44.494191
-487.081255,1000,45.562107
-452.979528,1000,46.624169
-476.220402,1000,47.620503
-490.487852,1000,48.738511
-487.814435,1000,49.859193
-572.689544,1000,50.941559
-507.083477,1000,51.941615
-460.956562,1000,52.964069
-406.29538,1000,54.024421
-396.425324,1000,55.096909
-459.843785,1000,56.119276
-460.326205,1000,57.145779
-516.781924,1000,58.195049
-501.717335,1000,59.269592
-408.95178,1000,60.301039
-446.052367,1000,61.363232
-467.430927,1000,62.406615
-482.333862,1000,63.491513
-390.739217,1000,64.508964
-509.915323,1000,65.571642
-499.281213,1000,66.648069
-485.784148,1000,67.751758
-423.063317,1000,68.81591
-415.458758,1000,69.939709
-455.309924,1000,70.985713
-469.437779,1000,72.051005
-457.346729,1000,73.145205
-442.501965,1000,74.166311
-442.094138,1000,75.201224
-398.029686,1000,76.296226
-452.926714,1000,77.353169
-431.276195,1000,78.436914
-347.745184,1000,79.537966
-470.419816,1000,80.58605
-425.596861,1000,81.690826
-512.563467,1000,82.78335
-428.619333,1000,83.877354
-432.981236,1000,84.977273
-374.321666,1000,86.111828
-389.485595,1000,87.204561
-421.55875,1000,88.272663
-363.181386,1000,89.360759
-391.347948,1000,90.373159
-407.676173,1000,91.447573
-386.369168,1000,92.441622
-324.7308,1000,93.313002
-351.90688,1000,94.315854
-373.769055,1000,95.357583
-389.848666,1000,96.401161
-333.238989,1000,97.401892
-388.028468,1000,98.460075
-419.105856,1000,99.535712
-276.403261,1000,100.566987
-344.528906,1000,101.656636
-312.501676,1000,102.776672
-356.411095,1000,103.813362
-312.423163,1000,104.868186
-328.542631,1000,105.94284
-384.381945,1000,107.010483
-342.622308,1000,108.117767
-369.696487,1000,109.232793
-329.291611,1000,110.333468
-252.209408,1000,111.403402
-304.670302,1000,112.473367
-231.673842,1000,113.545701
-288.175742,1000,114.639516
-340.356963,1000,115.718109
-266.760615,1000,116.825698
-286.050823,1000,117.918716
-339.285622,1000,119.004896
-310.520366,1000,120.067146
-311.115586,1000,121.109537
-274.793095,1000,122.223067
-253.990851,1000,123.34488
-717.769399,1000,124.469994
-262.734517,1000,125.57911
-331.177494,1000,126.666066
-239.369228,1000,127.717874
-226.660974,1000,128.808262
-230.34768,1000,129.954073
-245.760132,1000,131.10699
-290.010199,1000,132.264786
-241.684281,1000,133.353402
-215.4876,1000,134.363087
-220.881718,1000,135.380937
-254.571819,1000,136.433148
-249.64218,1000,137.483205
-215.128148,1000,138.409431
-264.73598,1000,139.529175
-216.97387,1000,140.617692
-248.068701,1000,141.67967
-271.707552,1000,142.718506
-246.881575,1000,143.814405
-198.469341,1000,144.919809
-221.150458,1000,146.047789
-211.340964,1000,147.179953
-350.732246,1000,148.289904
-173.477858,1000,149.349303
-239.51815,1000,150.440854
-156.618018,1000,151.549769
-181.581881,1000,152.594307
-160.366207,1000,153.670517
-236.877824,1000,154.786237
-153.560555,1000,155.91265
-152.173073,1000,156.965715
-187.247532,1000,157.996367
-116.125832,1000,159.080538
-210.240976,1000,160.167559
-144.070463,1000,161.300042
-130.852213,1000,162.399169
-229.972055,1000,163.468236
-121.208169,1000,164.588288
-223.08961,1000,165.676388
-115.461118,1000,166.745933
-93.49001,1000,167.800542
-112.437796,1000,168.852505
-306.35286,1000,169.930786
-143.950216,1000,171.02059
-142.92661,1000,172.09806
-242.460291,1000,173.173604
-54.403063,1000,174.200554
-163.473283,1000,175.244863
-82.89317,1000,176.306626
-137.477262,1000,177.399371
-121.07753,1000,178.508766
-168.636793,1000,179.662858
-164.386613,1000,180.752345
-109.9447,1000,181.820835
-64.116841,1000,182.879503
-36.242858,1000,183.953693
-61.059685,1000,184.859845
-112.274594,1000,185.899603
-57.169702,1000,186.985161
-63.396612,1000,188.016201
-3.752922,1000,189.099909
2.633797,1000,190.193843
-87.816198,1000,191.287841
-104.291681,1000,192.353822
-1.919628,1000,193.433752
-27.489311,1000,194.520966
14.765753,1000,195.606689
-32.302622,1000,196.671694
23.471387,1000,197.74515
35.104251,1000,198.804684
-87.258412,1000,199.866878
37.194514,1000,200.906859
110.572398,1000,201.929193
-37.615977,1000,202.98001
-16.38769,1000,204.041881
67.343748,1000,205.105738
55.895527,1000,206.196362
61.714635,1000,207.319044
-95.464408,1000,208.426098
51.929403,1000,209.504631
79.968961,1000,210.573996
161.323107,1000,211.691971
9.20999,1000,212.791006
44.016099,1000,213.890857
65.447629,1000,215.006846
53.3162,1000,216.163364
143.362051,1000,217.215778
157.074313,1000,218.281961
58.597744,1000,219.385119
-8.015183,1000,220.438493
68.730462,1000,221.51671
153.620466,1000,222.562124
140.533406,1000,223.619263
134.245211,1000,224.707216
161.100385,1000,225.836422
197.678237,1000,226.943212
153.477465,1000,228.089198
228.88311,1000,229.201675
232.813948,1000,230.298946
242.862509,1000,231.166763
221.521869,1000,232.240882
267.647693,1000,233.29812
210.960451,1000,234.265297
294.856702,1000,235.346175
56.56615,1000,236.386103
277.183707,1000,237.444416
282.990833,1000,238.514697
214.963057,1000,239.583923
214.881076,1000,240.656532
275.859333,1000,241.732539
291.865462,1000,242.790491
263.869924,1000,243.857512
374.192989,1000,244.922805
315.442652,1000,245.969892
251.052595,1000,247.042151
316.063951,1000,248.126403
276.695251,1000,249.204791
372.690738,1000,250.247399
300.074185,1000,251.306798
279.180511,1000,252.398498
283.864033,1000,253.501176
313.900081,1000,254.60314
326.276315,1000,255.704392
323.385954,1000,256.785404
385.264054,1000,257.870186
395.798646,1000,259.002988
362.926977,1000,260.087472
251.105286,1000,261.087748
341.433252,1000,262.130468
391.260651,1000,263.207597
405.759853,1000,264.239524
387.799282,1000,265.305242
368.935938,1000,266.379134
315.109473,1000,267.427615
345.220081,1000,268.456178
428.429963,1000,269.480011
415.817809,1000,270.514966
304.064099,1000,271.577679
465.3392,1000,272.676227
428.339506,1000,273.791901
419.328925,1000,274.918948
308.258728,1000,275.882127
475.788037,1000,277.01479
443.906958,1000,278.04092
462.340317,1000,279.088789
405.648116,1000,280.124247
482.588282,1000,281.177799
347.768933,1000,282.274498
476.656177,1000,283.367053
454.265443,1000,284.432053
362.046355,1000,285.527418
422.336584,1000,286.608804
454.74417,1000,287.661839
462.849371,1000,288.774097
340.687344,1000,289.918188
477.822969,1000,291.029458
352.583268,1000,292.111569
413.772592,1000,293.183397
516.843592,1000,294.264555
505.475646,1000,295.37188
492.664847,1000,296.473521
442.626824,1000,297.59203
486.613951,1000,298.718633
502.441312,1000,299.813459
543.031158,1000,300.911985
340.359987,1000,302.013568
488.613012,1000,303.098372
524.568033,1000,304.11798
383.626378,1000,305.179727
502.116675,1000,306.236878
591.868112,1000,307.301191
458.650233,1000,308.405298
522.491837,1000,309.514184
506.727413,1000,310.637901
486.981873,1000,311.725343
482.08715,1000,312.793548
472.696336,1000,313.870961
-1581.142582,1000,314.960032
620.006291,1000,316.007828
554.352527,1000,317.122191
474.440227,1000,318.212438
508.940014,1000,319.293607
542.140881,1000,320.406045
604.966821,1000,321.519726
541.065268,1000,322.494395
470.568839,1000,323.551301
565.89241,1000,324.615783
505.170479,1000,325.668133
569.157909,1000,326.72552
575.635404,1000,327.822292
514.520014,1000,328.875392
530.095046,1000,329.95145
586.737519,1000,331.065061
539.561547,1000,332.137114
577.200445,1000,333.228211
547.113107,1000,334.344344
576.251079,1000,335.473996
534.858053,1000,336.579328
587.342645,1000,337.681886
540.879801,1000,338.763594
586.056649,1000,339.844085
566.73163,1000,340.882511
622.613712,1000,341.988456
503.512383,1000,343.098062
544.393432,1000,344.194388
499.539791,1000,345.3177
501.683939,1000,346.432224
559.645362,1000,347.479963
587.866319,1000,348.523687
566.963875,1000,349.66776
568.563994,1000,350.741896
597.160492,1000,351.814545
629.447643,1000,352.855912
575.913824,1000,353.933702
584.268578,1000,354.98143
587.45375,1000,356.021016
576.514633,1000,357.101154
642.574219,1000,358.123692
630.227338,1000,359.170362
563.867807,1000,360.275574
587.179436,1000,361.371358
615.563097,1000,362.498703
594.289278,1000,363.616914
591.492633,1000,364.749494
610.563287,1000,365.90475
618.306375,1000,367.031058
611.39279,1000,368.144302
540.443165,1000,369.130582
564.470311,1000,370.219614
578.298103,1000,371.350365
622.694088,1000,372.461574
653.652905,1000,373.543916
610.91279,1000,374.60809
595.556667,1000,375.634583
612.939489,1000,376.635973
498.094563,1000,377.669338
562.417981,1000,378.710037
663.337954,1000,379.764137
682.512557,1000,380.845028
639.25625,1000,381.891655
644.210684,1000,382.952757
605.136739,1000,384.058275
622.360387,1000,385.101084
632.060521,1000,386.123356
678.942143,1000,387.202028
655.055296,1000,388.234788
615.897655,1000,389.300144
627.687907,1000,390.371199
622.842568,1000,391.487343
612.042263,1000,392.569577
624.042691,1000,393.622394
633.093033,1000,394.671821
636.749925,1000,395.710824
679.114734,1000,396.78659
661.059184,1000,397.916546
667.070815,1000,399.039831
679.176036,1000,400.161906
567.72465,1000,401.265376
638.816248,1000,402.378345
539.696443,1000,403.501401
698.095214,1000,404.618299
649.721475,1000,405.728831
661.209701,1000,406.830066
623.620435,1000,407.949259
648.917123,1000,409.009328
700.215969,1000,410.125345
735.628733,1000,411.241198
677.341266,1000,412.273525
634.437548,1000,413.373813
699.326926,1000,414.288847
696.416971,1000,415.364862
688.626308,1000,416.423365
547.311694,1000,417.466073
607.543994,1000,418.494094
585.431363,1000,419.567031
694.209496,1000,420.669792
724.697146,1000,421.691771
716.474057,1000,422.740907
695.661779,1000,423.805711
791.252866,1000,424.873104
693.992799,1000,425.963758
676.575181,1000,427.009262
753.84382,1000,428.100139
