# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
9.802204,12,1.265543
22.282273,20,1.289228
14.659134,21,1.313347
32.029143,28,1.345941
8.306027,15,1.362557
9.755254,19,1.382309
18.762999,19,1.402003
42.86907,34,1.437175
6.846421,10,1.448006
9.178855,12,1.460608
6.102939,8,1.4688
12.55399,19,1.488718
7.20689,13,1.502244
4.68501,8,1.510329
13.90682,31,1.542376
16.019756,19,1.561715
8.860331,12,1.574197
7.40153,25,1.600413
8.847269,24,1.624689
36.768008,31,1.656101
134.442442,86,1.744985
29.211507,29,1.774256
14.821337,18,1.792696
15.040001,17,1.810416
6.717563,15,1.825967
15.518042,24,1.850853
16.727574,20,1.87129
8.666615,14,1.885783
10.355113,13,1.898752
8.433047,14,1.9134
10.010895,13,1.926807
80.412507,49,1.976392
7.922813,10,1.986775
7.156593,19,2.006367
11.656887,12,2.018456
21.606628,23,2.040831
4.455271,8,2.048972
7.878776,12,2.060786
11.226701,16,2.076793
9.632783,11,2.088058
23.726496,23,2.111364
5.721685,12,2.123563
5.156214,21,2.145293
8.497645,11,2.156542
8.618268,14,2.170386
12.16316,29,2.19949
10.534837,19,2.21926
9.557147,13,2.232694
61.452382,46,2.277803
16.448061,25,2.303385
18.071381,18,2.600985
6.458806,9,2.610299
17.083139,31,2.641735
10.68262,12,2.65392
24.973587,27,2.680185
13.057266,15,2.695052
9.623173,22,2.717118
7.616309,10,2.727456
8.349594,12,2.739648
47.036367,38,2.778429
10.184471,15,2.794217
136.098849,91,2.883336
17.135287,17,2.900366
55.906534,34,2.934702
36.488906,29,2.96485
13.081773,13,2.978577
11.206735,12,2.990946
13.790903,15,3.006664
57.427907,43,3.050757
9.685975,12,3.063333
6.669133,10,3.073831
9.42487,13,3.087539
7.30428,9,3.096937
17.425671,23,3.121119
10.074965,14,3.135999
16.724627,27,3.163792
19.4806,21,3.184855
10.243861,19,3.203855
12.811757,17,3.220781
13.389741,23,3.244876
12.2165,18,3.263605
86.412932,53,3.316328
26.845189,21,3.338135
11.818726,17,3.355826
6.528671,13,3.369641
27.911567,27,3.396775
10.42424,12,3.408854
6.819022,9,3.418041
9.542596,17,3.435601
13.034546,42,3.479341
11.795317,17,3.496782
8.2415,10,3.507191
24.326563,25,3.53343
35.444999,28,3.56217
80.326549,55,3.617797
14.606238,16,3.634226
9.257143,11,3.792935
13.788578,19,3.811952
78.38237,45,3.857594
21.496131,28,3.885728
26.53014,46,3.932839
14.551347,14,3.946859
9.650165,13,3.959643
14.585649,20,3.97993
9.061337,11,3.991424
20.992982,19,4.011138
5.741438,9,4.020917
5.775625,12,4.033708
8.968341,15,4.04954
33.1172,33,4.082521
100.549284,60,4.142343
9.227042,16,4.159595
23.909355,28,4.189059
11.754737,14,4.203322
37.996144,29,4.234059
14.984386,17,4.25155
13.218918,15,4.267579
10.082618,16,4.284197
11.195631,12,4.296544
10.882959,12,4.308939
30.030581,30,4.340073
6.429249,11,4.351741
29.978247,33,4.387377
101.258341,69,4.461592
4.40035,13,4.475742
24.138633,34,4.512069
21.374008,23,4.536718
87.819711,57,4.597729
9.060543,10,4.608637
17.855714,20,4.630329
14.723548,20,4.651173
20.691247,26,4.678924
5.45386,13,4.692878
13.03025,15,4.708927
11.809717,18,4.72778
7.97066,16,4.744442
87.666024,56,4.802207
15.204384,17,4.820404
9.625865,17,4.838127
62.084097,40,5.031453
10.971477,14,5.046309
6.980354,13,5.059844
74.394793,44,5.105723
18.720384,17,5.123388
66.092423,47,5.172245
241.930159,146,5.323388
87.516314,50,5.375639
160.949328,87,5.462922
26.298983,42,5.505734
19.669918,24,5.530636
83.15185,50,5.582042
77.695038,51,5.635928
81.856966,51,5.688625
8.486141,13,5.702852
20.225539,22,5.726924
10.65616,13,5.74078
11.503503,17,5.759231
169.385354,108,5.869678
11.794868,16,5.886161
14.624799,18,5.90422
26.591766,29,5.933593
6.645487,15,5.948979
78.318604,47,5.996593
141.350215,85,6.230667
93.374702,52,6.282356
86.884027,59,6.342309
150.783742,77,6.420686
72.054353,49,6.470184
140.394957,93,6.563888
105.001137,56,6.621135
103.175115,69,6.691374
10.013832,13,6.704838
15.211952,29,6.734968
127.248981,78,6.815178
69.397113,52,6.868409
9.625695,11,6.879667
18.934114,21,6.901142
